0:0:0:0:0:0:0:1 - - [02/Dec/2021:17:00:50 +0900] "POST /Quiz_WebProject/solveQuiz.jsp HTTP/1.1" 200 6021
0:0:0:0:0:0:0:1 - - [02/Dec/2021:17:00:50 +0900] "GET /Quiz_WebProject/js/main.js?ver=123 HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [02/Dec/2021:17:00:50 +0900] "GET /Quiz_WebProject/js/main.js?ver=123 HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [02/Dec/2021:17:00:55 +0900] "POST /Quiz_WebProject/solveQuiz.jsp HTTP/1.1" 200 5998
0:0:0:0:0:0:0:1 - - [02/Dec/2021:17:00:55 +0900] "GET /Quiz_WebProject/js/main.js?ver=123 HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [02/Dec/2021:17:00:55 +0900] "GET /Quiz_WebProject/img/%EB%B2%A0%ED%8A%B8%EB%82%A8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2021:17:00:59 +0900] "POST /Quiz_WebProject/solveQuiz.jsp HTTP/1.1" 200 6017
0:0:0:0:0:0:0:1 - - [02/Dec/2021:17:00:59 +0900] "GET /Quiz_WebProject/js/main.js?ver=123 HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [02/Dec/2021:17:00:59 +0900] "GET /Quiz_WebProject/js/main.js?ver=123 HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [02/Dec/2021:17:01:01 +0900] "POST /Quiz_WebProject/resultQuiz.jsp HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [02/Dec/2021:17:01:34 +0900] "GET /Quiz_WebProject/solveQuiz.jsp HTTP/1.1" 500 2504
0:0:0:0:0:0:0:1 - - [02/Dec/2021:17:01:46 +0900] "GET /Quiz_WebProject/index.jsp HTTP/1.1" 200 6046
0:0:0:0:0:0:0:1 - - [02/Dec/2021:17:01:48 +0900] "GET /Quiz_WebProject/action/getQuestion.jsp?type=0 HTTP/1.1" 302 -
